english_sentence,hindi_sentence
Toggle current code fold in the editor,यह फ़ाइल (छोटि) को बान्द करे
Bookmar _ k,बुकमार्क्स
_ Toggle Bookmark,बुकमार्क जोड़ें (A) 
Toggle a bookmark at the current line position,प्रस्तुत स्थिति के लिए बुकमार्क मीनू में जोड़ें
_ First Bookmark,/ बुकमार्क संशोधन
_ Previous Bookmark,पिछला हिस्सा
_ Next Bookmark,/ बुकमार्क संशोधन
_ Last Bookmark,/ बुकमार्क संशोधन
_ Clear All Bookmarks,बुकमार्क्स
Clear bookmarks,/ बुकमार्क संशोधन
Editor file operations,छैतिज पैमाना
Editor print operations,छैतिज पैमाना
Editor text transformation,छैतिज पैमाना
Editor text selection,"छैतिज पैमानाActionGroupEditorInsert "", N _ ("" Editor text insertions"
Editor code commenting,छैतिज पैमाना
Editor navigations,छैतिज पैमाना
Editor edit operations,छैतिज पैमाना
Editor zoom operations,छैतिज पैमाना
Editor syntax highlighting styles,ड्राव के लिए हाइलाइट करें
Editor text formating,छैतिज पैमाना
Editor bookmarks,/ बुकमार्क संशोधन
Editor view settings,सर्वर की सेटिंग्स
Reload,पुन लोड करें
Goto,इधर को जाएँ
OVR,या
Zoom,जूम
Col,रंग
Mode,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#मोड (रूप) #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#मोड
Automatic,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#आप्ने आप #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#आटोमेटिक
Goto line,स्थिर घोषणाओं को छोड़ दें
Enter the line number to jump and press enter,ढूंढने के लिए फाइल का नाम दो
Editor quick navigations,छैतिज पैमाना
Basic Indentation,छैतिज पैमाना
Code folding,प्रोफाईलिंग पुन सेट करें
Highlight style,सिलेक्शन के लिए हाइलाइट किया
Other colors,दुसरे ओप्शन्स
Print options,छैतिज पैमाना
Add line number every:,प्रत्येक पंक्ति क प्रिंट करें
Add page header,पेज हैडर प्रिंट करें
Attributes:,गुणधर्म
Back color:,पाश्व रंग
Basic Indentation,इंडेन्टेशन
Bold,गाढ़ा
Calltip background:,पार्श्व समायोजन
Caret (cursor) color:,कर्सर का रंग
Collapse all code folds on file open,सभी खुली फाइलों को बंद करें
Colors & Fonts,सभी बंद करें
Colour,रंग
Compact folding,कालम के बीच की दूरी
Editor,एडीटर
Enable braces check,यात्रा जांच
Enable code folding,प्रोफाईलिंग पुन सेट करें
Enable line wrap,सारणी
Enable python comments folding,फाइल को खोलने में असमर्थ
Fold style:,फोन्ट स्टाइल
Font:,#-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#आइकन #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#पोर्ट (_ P): 
Fore color:,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#अग्र रंग #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#आगे का रंग
Indent closing braces,पंक्ति (या) 
Indent opening braces,पंक्ति (या) 
Italic,इटालिक
Line numbers margin width in pixels,पंक्ति संख्या
Maintain past Indentation,इंडेन्टेशन
Mode:,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#मोड (रूप) #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#मोड
Monochrome,मोनोस्पेस
Pressing tab inserts indentation,पिता विडगेट
Printing,लिख रहा है% s
Selection background:,चयन सीमा
Selection foreground:,चयन सीमा
Tab size in spaces:,स्पेसर का आकार
Underlined,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#अण्डरलाइन (रेखांकन) #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#अन्डरलाइन
Use default,डिफाल्ट किया गया
Use tabs for indentation,इंडेन्टेशन की पिक्सेल संख्या
View Indentation Guides,इंडेन्टेशन
View Line Wrap,सारणी
View Whitespaces,स्पेसर का आकार
View indentation whitespaces,परिभाषा खिड़की दिखाएं/छिपाएं... (_ S) 
No file to print!,खोलने के लिए कोई लाग फाइल नहीं है
Unable to get text buffer for printing,पियर से प्रमाण पत्र लेने में असमर्थ
File:% s,फाइल% s
Printing...,छापें
Print Preview,प्रिंट पूर्व दर्शन
The file '% s' on the disk is more recent than the current buffer. Do you want to reload it?,इस फाइल में परिवर्तित किया गया है क्या आप इसे पुनः लोड करना चाहते हैं? 
Could not get file info,फाइल% s संग्रहित नहीं की जा सकीThis file is too big. Unable to allocate memory. 
Could not open file,फाइल% s नहीं मिली
Error while reading from file,'% s' फाइल में लिखने की त्रुटिः% s
Loading file...,फाइल% d लोड हो रही है
Could not load file:% s Details:% s,फाइल% s नहीं मिली
File loaded successfully,सफलतापूर्वक फ्लापी को फार्मेट किया
Saving file...,फाइल% s संग्रहित करें
Could not save intermediate file% s:% s.,फाइल% s संग्रहित नहीं की जा सकी
Could not save file% s:% s.,फाइल% s संग्रहित नहीं की जा सकी
File saved successfully,सफलतापूर्वक फ्लापी को फार्मेट किया
Back,पीछे
Forward,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#आगे बढ़ाएँ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#आगे करें #-#-#-#-#yelp. HEAD. hi. po (Yelp 2.0) #-#-#-#-#आगे बढ़ना
Tag Definition,फ्लैग की स्थिति
Tag Declaration,स्थिर घोषणाओं को छोड़ दें
Prev mesg,पिछला संदेश
Next mesg,अगला संदेश
Prev bookmark,/ बुकमार्क संशोधन
Next bookmark,/ बुकमार्क संशोधन
Toggle breakpoint,ब्रेकपाइंट समायोजित करें
Step in,स्पेन
Step over,#-#-#-#-#gnome-media. HEAD. hi. po (gnome-media 2.0) #-#-#-#-#सर्वर #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#सरवर
Step out,ध्वनि
Run / Continue,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#जारी रखें #-#-#-#-#gnome-session. HEAD. hi. po (gnome-session VERSION) #-#-#-#-#आगे करें
Interrupt,इन्टरनेट
Toggle Line numbers,पंक्ति संख्या
Toggle Fold Margin,चिन्हित किए हुओं को टागल करें
Toggle Guides,नयों को टागल करें
+ + Zoom,जूम
- - Zoom,जूम
Cut,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#काटें #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#काटो #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#काटो
Copy,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#कापी #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#प्रतिलिपि #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#प्रतिलिपि
Paste,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#चिपकाएं #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#चिपकाओ #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#चिपकाओ
Context Help,अंश व्यू
Toggle Bookmark,बुकमार्क जोड़ें (A) 
Auto format,ध्वनि फार्मेट
Go,गोआ
Tags,टैग
Debug,डिबग (खराबी दूर करें) 
Options,विकल्प
Find Usage,फिर से ढूंढो
Close,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#बन्द करें #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बंद करें
Docked,साकेट
Open with:,एक फाइल खोलें
Document Manager,अंजूटा दस्तावेज मैनेजर
Anjuta Projects,अंजूटा प्रोजेक्ट मैनेजर
C / C + + source files,सी + + सोर्स कोड
C # source files,सी + + सोर्स कोड
Java source files,जावा सोर्स कोड
Pascal source files,जावा सोर्स कोड
PHP source files,जावा सोर्स कोड
Perl source files,जावा सोर्स कोड
Python source files,वर्तमान फाइल संग्रहित करें
Shell scripts files,फाइल चयन करें
Makefiles,फाईल बनाओ
Lua files,% u फाइल्स
Diff files,0 फाइल्स
Failed to activate plugin:% s,उपकरण पर लिखने में असमर्थ% s
_ New...,खोलें
_ Open...,खोलें
_ Open,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#खोलो #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#खोलें
Open _ With,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बदलें/परिवर्तित करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#बदलो #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#बदलना
Open with,एक फाइल खोलें
File Loader,स्तर छोडें (_ l) 
New,नया
"New file, project and project components.",कोई फिल्टर का नाम निर्धारित नहीं है
Open,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#खोलो #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#खोलें
Open _ Recent,प्रोजेक्ट खोलें
Open recent file,एक फाइल खोलें
Open recent files,एक फाइल खोलें
No message details,जीएनयू डाक संदेश
No file details,जीएनयू डाक संदेश
Loading...,फाइल% d लोड हो रही है
Rev,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#पूर्व स्थिति में आना #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#पुरानी स्थिति में लाएं
Directory filter:,डायरेक्ट्री
File filter:,स्तर छोडें (_ l) 
Choose directories,डायरेक्टरी का निर्माण करें
Choose files,सभी खुली फाइलों को बंद करें
Do not show hidden directories,घर के दश्य पर जाएं
Do not show hidden files,कंसोल में छापें
Ignore directories,कार्य डायरेक्टरी
Ignore files,एक फाइल प्रविष्ट करें
dialog3,डायलाग 1
_ Refresh,रिफ्रेश
File manager popup actions,डिस्क के उन्नत विकल्पों को छुपाओ
Files,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#फ़ाइलें #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#फाइलें
File Manager,स्तर छोडें (_ l) 
File Information,चलाने लायक टेक्स्ट फाइल
Options,चलाने लायक टेक्स्ट फाइल
Add License Information,बाल्सा सूचना
Add to project,प्रोजेक्ट में सोर्स जोड़ें
Add to repository,प्रोजेक्ट में सोर्स जोड़ें
Name:,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#नामः #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#नाम: 
New File,नया फिल्टर
C Source File,सोर्सफोर्ज
C - C + + Header File,कोई हेडर नहीं
C + + Source File,सी + + सोर्स कोड
C # Source File,सोर्सफोर्ज
Java Source File,जावा सोर्स कोड
Perl Source File,सोर्सफोर्ज
Python Source File,सोर्सफोर्ज
Shell Script File,फाइल चयन करें
Other,अन्य
Unable to build user interface for New File,पियर से प्रमाण पत्र लेने में असमर्थ
Command Line Parameters,निर्देश पंक्ति की प्रविष्टि
Execute Program,अनुप्रयोग से बाहर जाएं
Run in Terminal,टर्मिनल में चलाएं
Loading Core:,आइकान लोड हो रहे है
Getting ready to start debugging session...,डिबगिंग सूचनाओं को प्रिंट करें
No executable specified.,कोई फिल्टर का नाम निर्धारित नहीं है
There was an error whilst launching the debugger.,मदद दर्शाने में त्रुटिः% s
Make sure 'gdb' is installed on the system.,% s को पाथ पर इन्सटाल नहीं किया गया है
Breakpoint number% s hit,ब्रेकपाइंट समायोजित करें
Function finished,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#काम (_ A) #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-##-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#कार्य
The program is attached. Do you still want to stop the debugger?,कुछ परिवर्तन संग्रहित नहीं किए गए हैं क्या आप इसी अवस्था में बाहर निकलना चाहते हैं? 
Cannot execute gnome - terminal,रिमोट कड़ियों को नहीं चला सकता
Program attached,प्रोग्राम का नाम
Attaching to process:% d...,फाइल जोड़ें
Program terminated,प्रोग्राम का नाम
Program detached,प्रोग्राम का नाम
Detaching the process...,कचरे में भेजें
Interrupting the process,प्रोग्राम का संस्करण
Error whilst signaling the process.,खराब ब्लाक का जांच करें
_ Undo:% s,अनडू
_ Undo,अनडू
_ Redo:% s,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#पुनः करें #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#पुनः करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#फिर से करो (R) #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#पुन करें
Glade project '% s' saved,ग्लेड योजना
Save glade file...,फाइल% s संग्रहित करें
Save glade file as...,फाइल% s संग्रहित करें
Save glade project...,नया प्रोजेक्ट बनाएं
Undo last action,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#पिछली क्रिया निरस्त करें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#अंतिम प्रक्रिया को निरस्त करें
Redo last undone action,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#निरस्त की गई क्रिया को पुनः करें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#निरस्त प्रक्रिया को पुन करें
Cu _ t,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#काटें #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#काटो #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#काटो
Cut selection,चयनित
Copy selection,चयनित
Paste selection,चयनित
_ Delete,हटाएं
Delete selection,फाइल नष्ट करें
_ Show Clipboard,टिप्स (संकेतों) को दिखाएं (_ i) 
Show clipboard,काटो चुने हुए को क्लिपबोर्ड पर काटो
Save glade project,नया प्रोजेक्ट बनाएं
Save as glade project,एक नया प्रोजेक्ट बनाएं
Clos _ e,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#बन्द करें #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बंद करें
Close current glade project,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बर्तमान फाइल को बंद करें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वर्तमान फाइल को बंद करें
Glade operations,छैतिज पैमाना
Palette,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#चिपकाएं #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#चिपकाओ #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#चिपकाओ
Designer,पंक्तियां
Not local file:% s,फाइल% s नहीं मिली
Could not open:% s,फाइल% s नहीं मिली
Could not create a new glade project.,एक नया प्रोजेक्ट बनाएं
You need to select a to do item before you can edit it,आप पहले एक खंड को चयन करें
Add Item,फ़ाइलों को जोडे
Edit Item,बदलाव
Summary:,वर्ग
Category:,श्रेणी
Edit Categories,श्रेणी
Due date:,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#दिनांक #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#तारीख
High,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#दांया #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#दांया #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#दायें
Comment:,#-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#टिप्पणी: #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#टिप्पणीः
Completed,प्रतियां
started:,स्टार्टअप
stopped:,रोकें
You need to select a todo item before you can remove it,आप पहले एक खंड को चयन करें
Are you sure you want to remove the selected todo item?,"क्या आप निश्चित ही ""% s"" को ट्रेश से स्थायी तौर पर डिलीट करना चाहते हैं"
Remove,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#हटाओ #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#हटाएं #-#-#-#-#gnome-session. HEAD. hi. po (gnome-session VERSION) #-#-#-#-#हटाएं #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#हटाओ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#हटाएँ
Are you sure you want to remove all the completed todo items?,क्या आप निश्चित है कि आप ट्रेश की सभी आयटम्स हमेशा के लिए डिलीट करना चाहते हैं
"Are you sure you want to remove all the completed todo items in the category ""% s""?","क्या आप निश्चित ही ""% s"" को ट्रेश से स्थायी तौर पर डिलीट करना चाहते हैं"
Year,खाली
Month,#-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#आइकन #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#पोर्ट (_ P): 
Hour,रंग
Minute,लकीर
No Date,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#दिनांक #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#तारीख
no end time,तिथि तथा समय प्रविषश्ट करें
Orientation,इंडेन्टेशन
_ View,दिखाएं
/ Item / Remove,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#हटाओ #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#हटाएं #-#-#-#-#gnome-session. HEAD. hi. po (gnome-session VERSION) #-#-#-#-#हटाएं #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#हटाओ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#हटाएँ
All,सभी को संग्रहित करें
Priority,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#छापें #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#प्रिंट #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#प्रिंट #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#छापें
Summary,वर्ग
No permission to read the file.,आक्टेल अनुमतियां
File is not a valid gtodo file,% s नियमित फाइल नहीं है
Personal,पर्ल
Business,पंक्तियां
Unfiled,एक फाइल खोलें
No Gtodo Client to save.,भेजने के लिए कोई दस्तावेज नहीं
Failed to delete% s.,% s को क्रियान्वित करने में असफल% d (% s) 
Failed to create / open file.,फाइल को बदलने में असमर्थ
Failed to write data to file.,फाइल को बदलने में असमर्थ
No filename supplied.,कोई इनपुट डिवाइस नहीं है
Delete,हटाएं
enter name,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#फोन्ट नाम #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#फोन्ड नाम #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#फोन्ट नाम
_ Do not show again,कुछ न करें (h) 
_ Tasks,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#पासवर्ड #-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#पासवर्डः (_ P) #-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#गुपत अक्षर (_ P): 
Tasks manager,फाइल का नाम ढूंढो
Tasks manager view,फाइल का नाम ढूंढो
Tasks,टैग
Todo Manager,अंजूटा दस्तावेज मैनेजर
Todo List Preferences,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#वरीयता #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#वरीयता #-#-#-#-#gnome-media. HEAD. hi. po (gnome-media 2.0) #-#-#-#-#वरियताएँ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#प्राथमिकताएँ
Show in main window,टैग सूची विन्डो प्रदर्शित करे
Highlight,सिलेक्शन के लिए हाइलाइट किया
Auto purge completed items,पूर्वनिर्धारित तरीका
Notification,सूचना
/ View / Sorting / Sort Descending,/ View/Todo List/Hide Completed Items
/ View / Hide Completed Items,/ View/Todo List/Hide Items that are past due
/ View / Hide Items that Are Past Due Date,/ View/Todo List/Hide Items without an end date
Create a Task List,एक नयी फाइल का निर्माण करें
/ _ New,नयी
/ _ Quit,बाहर
Todo List,पाठ्य संसाधक
Macro text:,श्रेणी
Macros:,श्रेणी
Edit...,बदलाव
Name:,#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#नामः #-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#नाम: 
Shortcut:,नया शार्टकट
Anjuta macros,अंजूटा
My macros,मेक्रो
Insert macro,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#हाशिये से अंदर #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#हाशिए को छोडकर
% Y -% m -% d,% Y% m% d% H% M% S
% Y,#-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#Y #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#y #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#Y
Basic,सान्स
C,सी डी
Changelog,CVS changeLog
Copyright,#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#कापी #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#प्रतिलिपि #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#प्रतिलिपि
Date _ Time,समय
Header _ c,शीर्ष
Header _ cpp,शीर्ष
Header _ csharp,शीर्ष
Header _ h,शीर्ष
Header _ perl,शीर्ष
Header _ shell,शीर्ष
Licenses,पंक्तियां
UserName,यूजर नाम
cvs _ date,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#अपडेट #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#अपडेट (अद्यतन) #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#अपडेट (अद्यतन) 
cvs _ header,शीर्ष
cvs _ revision,सत्रें
do _ while,फाइल
while,#-#-#-#-#anjuta2. HEAD. hi. po (anjuta2 VERSION) #-#-#-#-#फाइल #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#फाइल #-#-#-#-#libbonoboui. HEAD. hi. po (libbonoboui 2. x) #-#-#-#-#फाइल (_ F) #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#फाइल #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#फाइल
Macros,मेक्रो
_ Insert Macro...,फाइल..... प्रविष्ट करें
_ Add Macro...,मेक्रो
Add a macro,पेज हैडर प्रिंट करें
Macros...,मेक्रो
Macro operations,विकल्पों को सन्ग्रहित करे
Indicators,सूचक बनाएं
Message colors,संदेश के रंग
Messages options,विकल्पों को सन्ग्रहित करे
Diagonal,डिजीटल1
Errors:,त्रुटि
Information:,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#सूचना #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#जानकारी #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#सूचना
Normal message indicator style:,संदेश आगे बढ़ाना
Number of last characters to show:,इस प्रविष्टि में कितने कैरेक्टर्स के लिए स्थान छो़ड़ा जाए
Strike - Out,लिखकर काट दें
Tabs position:,टैब स्थिति
Truncate long messages,संदेश का प्रकार
Underline Plain,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#अण्डरलाइन (रेखांकन) #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#अन्डरलाइन
Underline Squiggle,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#अण्डरलाइन (रेखांकन) #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#अन्डरलाइन
Underline - TT,#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#अण्डरलाइन (रेखांकन) #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#अन्डरलाइन
Warning message indicator style:,वार्निंग संदेश
Warnings:,चेतावनियां
Close all message tabs,जीएनयू डाक संदेश
Icon,हिस्से
Messages,संदेश
Error writing% s,'% s' फाइल में लिखने की त्रुटिः% s
_ Next Message,अगला संदेश
Next message,अगला संदेश
_ Previous Message,पिछला संदेश
Previous message,पिछला संदेश
_ Save Message,यह संदेश भेजें
Save message,यह संदेश भेजें
Next / Prev Message,पिछला संदेश
File / Directory to patch,फिल्टर का मिलान हुआ है
Patch file,वर्तमान फाइल संग्रहित करें
Patch,चिपकाएं
Patching% s using% s,प्ले प्रगति पर
Patching...,ढूंढ रहा है... 
_ Tools,टूल्स
_ Patch...,चिपकाएं
Patch files / directories,यह एक डायरेक्टरी है
Function Name,हिस्से
Children,खाली
Calls,#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#बन्द करें #-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बंद करें
% Time,समय
Profiler,0 फाइल्स
Select Target...,खोज का तरीका
Refresh,रिफ्रेश
Delete Data,हटाएं
Flat Profile,फाइलें जोड़ें
Function Call Tree,हिस्से
Called,स्तर छोडें (_ l) 
Functions,श्रेणी
Profiling Data,प्रोफाईलिंग पुन सेट करें
Select Target to Profile,अनियत चौड़ाई
Symbols,विकल्प
Time Propagation,छैतिज पैमाना
Browse...,ब्राउज
Do not show static functions,कुछ न करें (h) 
Do not show these symbols:,कुछ न करें (h) 
General,सामान्य
Options...,विकल्प
Profiling Options,छैतिज पैमाना
Select Other Target...,खोज का तरीका
Select Profiling Target,सभी फ़ाइल का चयन करे
Show uncalled functions,टिप्स (संकेतों) को दिखाएं (_ i) 
Enter the project name:,लान्चर सूचना का सम्पादन करें
Import Project,प्रोजेक्ट खोलें
Failed to refresh project:% s,प्रोजेक्ट लोड करने में असमर्थ
Project properties,विशेषताएँ
